LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	StdValueStr	
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Canarium pilosum	10065	Canarium pilosum	94886	1032083			340	Photosynthetically Active Radiation during measurement (PAR)	measurement light	1000	m,icromol/m2/s										Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Canarium pilosum	10065	Canarium pilosum	94886	1032084			323	Atmospheric CO2 concentration during measurement (Ca)	measurement CO2 conentration	360	ppm		20	Standard Deviation							Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Canarium pilosum	10065	Canarium pilosum	94886	1032085			326	Relative air humidity during measurement (Relative humidity, RH )	measurement RH	70	%		5	Standard Deviation							Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Canarium pilosum	10065	Canarium pilosum	94886	1032086			322	Temperature during measurement	measurement temperature	31	C		4	Standard Deviation							Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Canarium pilosum	10065	Canarium pilosum	94886	1032087			112	Location Site ID	Location	Sepilok Forest Reserve, Malaysian Borneo											Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.		Sepilok Forest Reserve, Malaysian Borneo	
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Canarium pilosum	10065	Canarium pilosum	94886	1032088			59	Latitude	Lat	5.16	degree					5.16					Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Canarium pilosum	10065	Canarium pilosum	94886	1032089			60	Longitude	Lon	117.9	degree					117.9					Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Canarium pilosum	10065	Canarium pilosum	94886	1032090			61	Altitude	Alt	20	m					20	m				Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Canarium pilosum	10065	Canarium pilosum	94886	1032091			394	Measurement time	Measurement time	Jan2005 to Aug2006											Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Canarium pilosum	10065	Canarium pilosum	94886	1032092			358	Number of replicate plants	Plant replicates	7											Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Cleistanthus baramicus	13320	Cleistanthus baramicus	94887	1032098	926	Leaf area index (LAI) of a single plant	384	LAI of respective plant	LAI	0.894049496380938	unitless										Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.	Leaf area index:  leaf area/canopy area (m2 per m2)		
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Cleistanthus baramicus	13320	Cleistanthus baramicus	94887	1032100			386	Canopy openness (fraction of open sky)	C O	2.04375	%										Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.	Canopy openness measured using hemisphere photos		
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Cleistanthus baramicus	13320	Cleistanthus baramicus	94887	1032119			393	Herbivory damage	Herbivory	4.87142857142857	%										Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.	Herbivory damage Proportion of leaf eaten		
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Cleistanthus baramicus	13320	Cleistanthus baramicus	94887	1032122			324	Treatment CO2	growth ambient CO2 concentration	360	ppm		20	Standard Deviation							Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Cleistanthus baramicus	13320	Cleistanthus baramicus	94887	1032123			325	Treatment relative humidity (Relative humidity )	growth RH	70	%		5	Standard Deviation							Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Cleistanthus baramicus	13320	Cleistanthus baramicus	94887	1032124			315	Treatment plant growth temperature during day	growth temperature	31	C		4	Standard Deviation							Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Cleistanthus baramicus	13320	Cleistanthus baramicus	94887	1032125			340	Photosynthetically Active Radiation during measurement (PAR)	measurement light	1000	m,icromol/m2/s										Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Cleistanthus baramicus	13320	Cleistanthus baramicus	94887	1032126			323	Atmospheric CO2 concentration during measurement (Ca)	measurement CO2 conentration	360	ppm		20	Standard Deviation							Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Cleistanthus baramicus	13320	Cleistanthus baramicus	94887	1032127			326	Relative air humidity during measurement (Relative humidity, RH )	measurement RH	70	%		5	Standard Deviation							Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Cleistanthus baramicus	13320	Cleistanthus baramicus	94887	1032128			322	Temperature during measurement	measurement temperature	31	C		4	Standard Deviation							Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
