Species,LAI Value
Metrosideros polymorpha,5.85
Metrosideros polymorpha,1.28
Metrosideros polymorpha,5.19
Metrosideros polymorpha,0.9
Metrosideros polymorpha,5.74
Eucalyptus sieberi,3.4
Eucalyptus sieberi,4
Eucalyptus sieberi,3.6
"Eucalyptus regnans, Acacia dealbata",4
Various (see Table1 of Hoffmann et al. 2005),2.38
Various (see Table1 of Hoffmann et al. 2005),2.74
Various (see Table1 of Hoffmann et al. 2005),2.99
Various (see Table1 of Hoffmann et al. 2005),3
Various (see Table1 of Hoffmann et al. 2005),3.42
Betula pubescens,2.6
"Abies sibirica, Picea obovata",3.5
Abies sibirica,4.1
"Pentaclethra macroloba, Palms, other trees, Lianas",6
Eucalyptus saligna,5.18
Eucalyptus saligna,4.1
Eucalyptus grandis * urophylla (mono clonal),2.4
Eucalyptus grandis * urophylla (mixed clonal),2.9
Eucalyptus grandis * urophylla (mixed clonal),2.9
Eucalyptus grandis * urophylla (mixed clonal),3.4
Eucalyptus grandis * urophylla (mixed clonal),3.1
Eucalyptus grandis * urophylla (mixed clonal),3.8
Eucalyptus grandis * urophylla (mono clonal),3
Eucalyptus grandis * urophylla (mono clonal),3
Eucalyptus grandis * urophylla (mixed clonal),2.2
Eucalyptus grandis * urophylla (mixed clonal),3.3
Eucalyptus grandis * urophylla (mixed clonal),3.7
Eucalyptus grandis * urophylla (mixed clonal),4.2
Eucalyptus grandis * urophylla (mixed clonal),4.6
Eucalyptus grandis * urophylla (mixed clonal),5.8
Various tropical tree species,7
Various tropical tree species,6
Eucalyptus marginata,1.32
Eucalyptus spp.,2
"Eucalyptus rossii, E. maculata",0.81
"Eucalyptus rossii, E. maculata",1.24
Pinus radiata,1.56
"Eucalyptus maculata, E. gummifera",1.47
"Eucalyptus maculata, E. gummifera",1.53
"Eucalyptus maculata, E. gummifera",1.1
"Eucalyptus maculata, E. gummifera",1.3
"Eucalyptus maculata, E. gummifera",1.56
"Eucalyptus maculata, E. gummifera",1.96
"Eucalyptus maculata, E. gummifera",1.67
"Eucalyptus maculata, E. gummifera",1.52
"Eucalyptus maculata, E. gummifera",1.7
"Eucalyptus maculata, E. gummifera",1.09
"Eucalyptus maculata, E. gummifera",1.06
"Eucalyptus maculata, E. gummifera",1.48
"Eucalyptus maculata, E. gummifera",1.68
Deciduous northern temperate tree species,3.82
Eucalyptus globulus,4.58
Eucalyptus globulus,2.71
Eucalyptus globulus,3.3
Eucalyptus globulus,3.2
Eucalyptus globulus,4.3
Eucalyptus globulus,4.9
Eucalyptus globulus,6.1
Eucalyptus marginata,4
Eucalyptus diversicolor,2.6
Eucalyptus diversicolor,5
"Combretocarpus rotundatus, Cratoxylum arborescens, Buchanania sessifolia, Tetramerista glabra",5.6
"Couratari guianensis, Eschweilera sp., Manilkara huberi, Carapa guianensis, Sclerolobium paniculatum, Pouteria sp., Protium decandro, Licaria guianensis",5.07
"Protium sagotianum Marchland, Dialium guianense, Hevea brasiliensis, Brosimum lactescens, Cordia alliodora, Tovomita schomburgkii, Qualea paraensis",5
Pinus yunnanensis,1.7
Pinus yunnanensis,1.8
"Pinus yunnanensis, Keteleerla evekyniana",2.4
"Pinus yunnanensis, Keteleerla evekyniana",2.8
"Pinus yunnanensis, Keteleerla evekyniana",2.7
"Cyclobalanopsis glaucoldes, Keteleerla evekyniana",2.8
"Cyclobalanopsis glaucoldes, Keteleerla evekyniana",2.7
"Cyclobalanopsis glaucoldes, Keteleerla evekyniana",2.6
Cupressus spp.,4.49
Natural tropical cloud forest,4.96
Natural tropical cloud forest,4.52
Eucalyptus spp.,4.01
Pinus spp.,4.87
Natural tropical cloud forest,6.09
Kandelia candel,4.5
Kandelia candel,0.64
Bruguiera conjugata,6.5
Bruguiera conjugata,8.7
Rhizophora mucronata,5.4
Rhizophora apiculata,4.9
Rhizophora apiculata,4.93
Rhizophora apiculata,4.12
Rhizophora apiculata,4.56
Rhizophora apiculata,3.36
Rhizophora apiculata,3.74
Rhizophora apiculata,3.37
"Meliaceae, Lauraceae, Sapotaceae, Fagaceae (63 species)",5.7
"Meliaceae, Lauraceae, Sapotaceae, Fagaceae (63 species)",6.4
"Meliaceae, Lauraceae, Sapotaceae, Fagaceae (63 species)",6.5
"Meliaceae, Lauraceae, Sapotaceae, Fagaceae (63 species)",4.3
"Meliaceae, Lauraceae, Sapotaceae, Fagaceae (63 species)",6.3
"Meliaceae, Lauraceae, Sapotaceae, Fagaceae (63 species)",5.2
"Meliaceae, Lauraceae, Sapotaceae, Fagaceae (53 species)",4.9
"Meliaceae, Lauraceae, Sapotaceae, Fagaceae (53 species)",4.9
"Meliaceae, Lauraceae, Sapotaceae, Fagaceae (53 species)",5.2
