id,species,accepted_name,gbif_taxon_key,family,order,common_name,growth_form,landscape_category,leaf_phenology,native_region,native_koppen,lai_mean,lai_min,lai_max,lai_sd,lai_n,lai_method,lai_context,lai_measurement_koppen,pft,tier,tier_source,urban_context,sources,notes,entry_date,data_version,ai_assisted,ai_model
42,Phyllostachys bambusoides,,5290162,,,,bamboo,Bamboo,evergreen,,"Cfb,Dfb,Dfc",11.6,11.6,11.6,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
43,Phyllostachys pubescens,,8448098,,,,bamboo,Bamboo,evergreen,,"Cfb,Dfb,Dfc",5.45,2.88,8.02,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
44,Sasa kurilensis,,4130562,,,,bamboo,Bamboo,evergreen,,"Cfb,Dfb,Dfc",3.73,2.15,5.3,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
45,Sasa nikkoensis,,5675991,,,,bamboo,Bamboo,evergreen,,"Cfb,Dfb,Dfc",5.2,5.2,5.2,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
46,Sasa nipponica,,5675989,,,,bamboo,Bamboo,evergreen,,"Cfb,Dfb,Dfc",4.7,4.7,4.7,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
47,Sasa oseana,,5675956,,,,bamboo,Bamboo,evergreen,,"Cfb,Dfb,Dfc",4.7,4.7,4.7,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
48,Sasa senanensis,,4129057,,,,bamboo,Bamboo,evergreen,,"Cfb,Dfb,Dfc",3.25,3.25,3.25,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
49,Sasa tokugawana,,4128570,,,,bamboo,Bamboo,evergreen,,"Cfb,Dfb,Dfc",5.3,5.3,5.3,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
50,Dense coniferous,,,,,,,Generic-Benchmark,,,"Cfb,Dfb,Dfc",6.74,6.74,6.74,,2,mixed,natural,,,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY; ORNL Global LAI Woody Plants | TRY Database (summary)",Measured in natural/plantation context; not urban.,2026-05-25,1.1.0,FALSE,
51,Dipterocarp species,,,,,,,Generic-Benchmark,,,"Af,Am,Aw",7.27,7.27,7.27,,2,mixed,natural,,,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY; ORNL Global LAI Woody Plants | TRY Database (summary)",Measured in natural/plantation context; not urban.,2026-05-25,1.1.0,FALSE,
52,Ericaceous vegetation,,,,,,,Generic-Benchmark,,,"Cfb,Dfb,Dfc",0.11,0.11,0.11,,2,mixed,natural,,,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY; ORNL Global LAI Woody Plants | TRY Database (summary)",Measured in natural/plantation context; not urban.,2026-05-25,1.1.0,FALSE,
53,Evergreen forest,,,,,,,Generic-Benchmark,,,"Cfb,Dfb,Dfc",2.1,2.1,2.1,,2,mixed,natural,,,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY; ORNL Global LAI Woody Plants | TRY Database (summary)",Measured in natural/plantation context; not urban.,2026-05-25,1.1.0,FALSE,
54,Not described,,,,,,,Generic-Benchmark,,,"Cfb,Dfb,Dfc",0.685,0.13,1.67,,22,mixed,natural,,,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY; ORNL Global LAI Woody Plants | TRY Database (summary)",Measured in natural/plantation context; not urban.,2026-05-25,1.1.0,FALSE,
55,Riparian forests,,,,,,,Generic-Benchmark,,,"Cfb,Dfb,Dfc",4.51,4.51,4.51,,2,mixed,natural,,,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY; ORNL Global LAI Woody Plants | TRY Database (summary)",Measured in natural/plantation context; not urban.,2026-05-25,1.1.0,FALSE,
56,Digitaria sanguinalis,,5289972,,,,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",2.47,0.78,3.37,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
57,Festuca ortophylla,,4107329,,,,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",0.32,0.32,0.32,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
58,Festuca ovina,,2704951,,,,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",3.45,0.46,6.34,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
59,Holcus lanatus,,2706164,,,,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",3.63,1.14,5.63,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
60,Luzula multiflora,,2700934,,,,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",3.27,2.57,4.66,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
61,Molinia caerulea,,5289877,,,,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",1.68,0.88,5.65,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
