id,species,common_name,mean_lai,median_lai,min_lai,max_lai,measurement_count,sources,tropical,category,canopy_form,height_mature_m,canopy_radius_mature_m,trunk_height_m,height_typical_m,canopy_radius_typical_m,min_substrate_mm,wikipedia_height_m,size_source
108,Cecropia,,4.13,4.13,4.13,4.13,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
109,Picea mariana,,4.106,3.795,1.13,8.97,112,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
110,Quercus rubra,,4.105,4.41,2.7,4.9,8,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
111,Abies sibirica,,4.1,4.1,4.1,4.1,2,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
112,Picea engelmannii,,4.1,4.1,4.1,4.1,2,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
113,Quercus alba,,4,4,4,4,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
114,Zelkovab serrata,,3.95,3.95,3.95,3.95,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
115,Pinus ponderosa,,3.902,3.1,1.02,9,86,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
116,Pinus pinaster,,3.895,2.93,1.76,14.6,24,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
117,Cupressus lusitanica,,3.85,3.85,3.84,3.86,4,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
118,Quercus ilex,,3.844,3.7,1.7,6.56,16,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
119,Eucalyptus maculata,,3.84,3.84,2.78,4.9,4,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
120,Pinus sylvestris,,3.825,3.25,0.15,14.21,212,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
121,Betula aetnensis,,3.8,3.8,3.8,3.8,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
122,Dacrydium cupressinum,,3.7,3.7,3.7,3.7,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
