species,mean_lai,median_lai,min_lai,max_lai,measurement_count,sources,datasets,lat_range,tropical_by_lat,tropical_by_keyword,tropical,category
Prestoea montana,3.3,3.3,3.3,3.3,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Pinus canariensis,3.263,3.215,3.09,3.53,8,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Pinus banksiana,3.257,2.325,1.22,11.0,76,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Eucalyptus sieberi,3.24,3.5,1.96,4.0,8,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Populus trichocarpa,3.23,3.23,3.23,3.23,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Pinus cembra,3.2,3.2,2.5,3.9,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Salix dasyclados,3.2,3.2,3.2,3.2,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Nothofagus nitida,3.2,3.2,3.2,3.2,1,TRY,TRY Database (summary),,False,False,False,Tree
Combretodendron africanum,3.16,3.16,3.16,3.16,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Nothofagus betuloides,3.155,3.155,2.58,3.73,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Betula pendula,3.111,3.08,0.66,5.34,68,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Pinus taeda,3.084,2.7,0.94,5.34,34,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Eperua molenillo,3.04,3.04,3.04,3.04,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Fraxinus pennsylvanica,3.0,3.0,3.0,3.0,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Picea,2.97,2.97,2.97,2.97,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Eucalyptus fastigata,2.93,2.93,2.93,2.93,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Populus tremula,2.91,2.64,2.43,4.22,24,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Quercus liaotungensis,2.9,2.9,2.9,2.9,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Carapa guianensis,2.9,2.9,2.9,2.9,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Eucryphia cordifolia,2.9,2.9,2.1,3.7,2,TRY,TRY Database (summary),,False,False,False,Tree
Robinia pseudoacacia,2.89,2.89,2.89,2.89,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Betula pubescens,2.83,2.67,0.76,5.12,40,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Eucalyptus grandis * urophylla (mono clonal),2.8,3.0,2.4,3.0,6,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Picea obovata,2.8,2.8,2.8,2.8,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Populus tremuloides,2.775,2.59,0.37,6.6,114,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Alnus incana,2.773,2.35,0.62,5.43,24,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Quercus pubescens,2.757,2.73,2.54,3.0,6,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Eucalyptus saligna,2.697,2.385,1.46,5.18,20,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Eucalyptus obliqua,2.657,1.34,1.23,5.4,6,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Tabebuia rigida,2.62,2.62,1.99,3.25,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Populus fremontii,2.6,2.6,2.6,2.6,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Quercus frainetto,2.562,2.7,2.1,2.8,16,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Eucalyptus diversicolor,2.55,1.95,1.3,5.0,8,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Larix principis-rupprechtii,2.54,2.54,2.54,2.54,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Toona ciliata,2.5,2.45,2.1,2.9,12,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Pinus caribaea,2.5,2.5,2.5,2.5,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Pinus elliottii,2.47,2.47,2.47,2.47,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Populus grandidentata,2.43,2.43,2.43,2.43,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Populus davidiana,2.37,2.37,2.37,2.37,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Quercus pyrenaica,2.352,2.205,1.8,3.4,12,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Eucalyptus grandis hybrids,2.3,2.3,2.3,2.3,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Betula platyphylla,2.3,2.3,1.1,3.5,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Pinus patula,2.295,2.295,2.13,2.46,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Eucalyptus grandis * camaldulensis hybrid,2.291,2.235,1.18,3.95,24,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Pinus tabulaeformis,2.28,2.28,2.28,2.28,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Nothofagus glauca,2.27,2.12,2.06,2.63,6,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Betula,2.27,2.27,2.27,2.27,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Salix viminalis,2.2,2.2,1.9,2.5,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Eucalyptus calophylla,2.1,2.1,1.9,2.3,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Weinmannia trichosperma,2.1,2.1,2.1,2.1,1,TRY,TRY Database (summary),,False,False,False,Tree
Nothofagus pumilio,2.073,2.02,1.19,2.9,18,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Eucalyptus marginata,2.036,1.845,0.85,4.0,48,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Populus canadensis Moench (clone I-214),2.02,2.02,2.02,2.02,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Nothofagus antarctica,2.005,1.91,0.75,4.7,20,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
